total_xz,河北,山西,辽宁,吉林,黑龙江,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,海南,四川,贵州,云南,陕西,甘肃,青海,内蒙古,广西,西藏,宁夏,新疆,北京,天津,上海,重庆,date
700.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,15.0,4.0,4.0,0.0,0.0,1.0,52.0,559.0,3.0,0.0,4.0,2.0,1.0,0.0,7.0,4.0,2.0,0.0,0.0,9.0,3.0,14.0,2.0,2022-08-11
444.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,6.0,1.0,1.0,0.0,59.0,285.0,8.0,1.0,1.0,0.0,0.0,0.0,27.0,2.0,10.0,0.0,0.0,4.0,0.0,20.0,2.0,2022-08-10
399.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,41.0,300.0,8.0,0.0,1.0,0.0,0.0,0.0,16.0,3.0,1.0,0.0,0.0,9.0,1.0,2.0,2.0,2022-08-09
380.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,55.0,259.0,10.0,0.0,1.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,6.0,1.0,7.0,1.0,2022-08-08
390.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,8.0,0.0,4.0,1.0,0.0,1.0,31.0,297.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,11.0,0.0,3.0,6.0,2022-08-07
361.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,22.0,262.0,5.0,0.0,6.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,5.0,1.0,8.0,3.0,2022-08-06
222.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,15.0,127.0,6.0,0.0,1.0,4.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,3.0,0.0,5.0,3.0,2022-08-05
111.0,0.0,0.0,2.0,0.0,3.0,1.0,9.0,0.0,10.0,0.0,3.0,2.0,0.0,0.0,29.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,2022-08-04
101.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,19.0,12.0,5.0,0.0,4.0,0.0,10.0,0.0,8.0,4.0,0.0,0.0,0.0,6.0,2.0,6.0,1.0,2022-08-03
107.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,30.0,1.0,12.0,0.0,3.0,1.0,10.0,0.0,7.0,9.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,2022-08-02
84.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,20.0,0.0,9.0,0.0,0.0,1.0,15.0,0.0,1.0,9.0,0.0,0.0,0.0,6.0,2.0,6.0,0.0,2022-08-01
116.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,11.0,0.0,0.0,3.0,31.0,0.0,0.0,32.0,0.0,0.0,0.0,4.0,1.0,12.0,0.0,2022-07-31
100.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,4.0,1.0,1.0,0.0,7.0,0.0,14.0,0.0,1.0,4.0,19.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,13.0,0.0,2022-07-30
109.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,12.0,6.0,0.0,0.0,14.0,0.0,20.0,0.0,0.0,2.0,21.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,2022-07-29
119.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,8.0,0.0,0.0,14.0,0.0,19.0,0.0,1.0,2.0,23.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2022-07-28
